nom_fichier;version;type_entite;paragraphe;texte_gold;ref_gold;texte_systeme;ref_systeme;score_similarite_pct;statut;TP;FP;FN;contexte
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P14;;;Apelli;#Apelle;;Faux positif;0;1;0;… secoli da ugguagliarsi a quello dell'antichità, quando gli [Apelli], e i Zeusi con opere di maravigliosa bellezza eccittarono l…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P14;;;Zeusi;#Zeuxis;;Faux positif;0;1;0;…Aglaofante, Apollodoro Ateniese, e Timagora, e Protegene, e [Zeusi], e Parrasio, e Timante, e Aristide Tebano, le aggiunsero l'…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P16;;;Annibale Carracci Bolognesi;#AnnibaleCarracci;;Faux positif;0;1;0;"…perfettione dell'arte. Furono quegli, Ludovico, Agostino, e [Annibale Carracci Bolognesi]; de' quali il primo era Cugino degli altri due, che erano F…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P12;Baldassare;#BaldassarrePeruzzi;;;;Faux negatif;0;0;1;…lla maniera, non si mostrò troppo Fiorentino: e Mecarino, e [Baldassare] tra ' Sanesi. Possonsi dunque costituire quattro spetie di …
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P13;Alberto Duro;#AlbrechtDurer;;;;Faux negatif;0;0;1;…na, la Viniziana, la Lombarda, e la Toscana. Fuori d'Italia [Alberto Duro] formò la Scuola sua, ed è meritevole della lode, che al mon…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P16;Ludovico;#LodovicoCarracci;;;;Faux negatif;0;0;1;…ne di quel Signore. Fu il libro donato dal Signor Cardinale [Ludovico] Ludovissio al Signor Lelio Guidiccioni, gentilhuomo Luchese…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P16;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P16;Annibale Carracci Bolognesi;#AnnibaleCarracci;Carracci;#AnnibaleCarracci;46;Erreur texte;1;0;0;"…perfettione dell'arte. Furono quegli, Ludovico, Agostino, e [Annibale Carracci Bolognesi]; de' quali il primo era Cugino degli altri due, che erano F…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P16;Carracci;#Carrache;Carracci;#AnnibaleCarracci;100;Erreur @ref;1;0;0;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P17;Ludovico;#LodovicoCarracci;;;;Faux negatif;0;0;1;…ne di quel Signore. Fu il libro donato dal Signor Cardinale [Ludovico] Ludovissio al Signor Lelio Guidiccioni, gentilhuomo Luchese…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P17;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P17;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P17;Ludovico;#LodovicoCarracci;;;;Faux negatif;0;0;1;…ne di quel Signore. Fu il libro donato dal Signor Cardinale [Ludovico] Ludovissio al Signor Lelio Guidiccioni, gentilhuomo Luchese…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P19;Carracci;#Carrache;Carracci;#AnnibaleCarracci;100;Erreur @ref;1;0;0;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P19;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P19;Serenissimo;#AlexandreFarnese;;;;Faux negatif;0;0;1;…n particolare hebber occasione di farvi dell'opere per quel [Serenissimo] con molto gusto di Sua Altezza, ciò aperse loro l'adito di …
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P19;Sua Altezza;#AlexandreFarnese;;;;Faux negatif;0;0;1;…di farvi dell'opere per quel Serenissimo con molto gusto di [Sua Altezza], ciò aperse loro l'adito di poter venir poi a Roma, appoggi…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P19;Ludovico;#LodovicoCarracci;;;;Faux negatif;0;0;1;…ne di quel Signore. Fu il libro donato dal Signor Cardinale [Ludovico] Ludovissio al Signor Lelio Guidiccioni, gentilhuomo Luchese…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P19;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P19;Cardinale;#EdouardFarnese;;;;Faux negatif;0;0;1;…imostratione di quel Signore. Fu il libro donato dal Signor [Cardinale] Ludovico Ludovissio al Signor Lelio Guidiccioni, gentilhuom…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P20;Carracci;#Carrache;Carracci;#AnnibaleCarracci;100;Erreur @ref;1;0;0;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P21;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P21;Cardinale;#EdouardFarnese;;;;Faux negatif;0;0;1;…imostratione di quel Signore. Fu il libro donato dal Signor [Cardinale] Ludovico Ludovissio al Signor Lelio Guidiccioni, gentilhuom…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P21;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P21;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P21;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P21;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P21;Fratello;#AgostinoCarracci;;;;Faux negatif;0;0;1;…cuna cosa n'havesse detta: ma questi, che assai diverso dal [Fratello] era di genio, e di gusto, quanto al compiacersi di ragionar…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P21;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P21;il Fratello;#AnnibaleCarracci;;;;Faux negatif;0;0;1;… più Annibale di dargli poco orecchie: e mentre egli vedeva [il Fratello] più inferuorato nel celebrare quell'antica Scoltura, e gli …
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P21;Fratello;#AnnibaleCarracci;;;;Faux negatif;0;0;1;…cuna cosa n'havesse detta: ma questi, che assai diverso dal [Fratello] era di genio, e di gusto, quanto al compiacersi di ragionar…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P22;Cardinale;#EdouardFarnese;;;;Faux negatif;0;0;1;…imostratione di quel Signore. Fu il libro donato dal Signor [Cardinale] Ludovico Ludovissio al Signor Lelio Guidiccioni, gentilhuom…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P23;Cardinale;#EdouardFarnese;;;;Faux negatif;0;0;1;…imostratione di quel Signore. Fu il libro donato dal Signor [Cardinale] Ludovico Ludovissio al Signor Lelio Guidiccioni, gentilhuom…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P23;Cardinale;#EdouardFarnese;;;;Faux negatif;0;0;1;…imostratione di quel Signore. Fu il libro donato dal Signor [Cardinale] Ludovico Ludovissio al Signor Lelio Guidiccioni, gentilhuom…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P24;Cardinale;#EdouardFarnese;;;;Faux negatif;0;0;1;…imostratione di quel Signore. Fu il libro donato dal Signor [Cardinale] Ludovico Ludovissio al Signor Lelio Guidiccioni, gentilhuom…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P24;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P24;Fratello;#AnnibaleCarracci;;;;Faux negatif;0;0;1;…cuna cosa n'havesse detta: ma questi, che assai diverso dal [Fratello] era di genio, e di gusto, quanto al compiacersi di ragionar…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P24;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P25;Cardinale;#EdouardFarnese;;;;Faux negatif;0;0;1;…imostratione di quel Signore. Fu il libro donato dal Signor [Cardinale] Ludovico Ludovissio al Signor Lelio Guidiccioni, gentilhuom…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P27;Dionisio;#Bacchus;Dionisio;#DenysDeColophon;100;Erreur @ref;1;0;0;"…a; perché Polignoto imitò i migliori, Pausone i peggiori, e [Dionisio] i simiglianti. E non è dubbio che fra gli antichi altri mol…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P27;;;Apelli;#Apelle;;Faux positif;0;1;0;… secoli da ugguagliarsi a quello dell'antichità, quando gli [Apelli], e i Zeusi con opere di maravigliosa bellezza eccittarono l…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P27;;;Zeusi;#Zeuxis;;Faux positif;0;1;0;…Aglaofante, Apollodoro Ateniese, e Timagora, e Protegene, e [Zeusi], e Parrasio, e Timante, e Aristide Tebano, le aggiunsero l'…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P27;;;Barbieri;#Guerchin;;Faux positif;0;1;0;"…ma gloria nell' imitare cose basse; come delle botteghe de' [Barbieri], e de' Calzolai, e degli asinelli, e delle robbe da mangiar…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P27;;;Romano;#Romanino;;Faux positif;0;1;0;…ole: e Calare dipinse tavolette d'argomenti comici e Amulio [Romano] fu stimato nella Pittura di cose humili. Ma Antifolo imitò …
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P27;Amulio Romano;#Amulius;;;;Faux negatif;0;0;1;…se piccole: e Calare dipinse tavolette d'argomenti comici e [Amulio Romano] fu stimato nella Pittura di cose humili. Ma Antifolo imitò …
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P27;Demetrio;#DemetriosAlopece;Demetrio;#DemetriosDePhalere;100;Erreur @ref;1;0;0;…lmente i migliori, e i peggiori: e Quintiliano afferma, che [Demetrio], benche questi fosse Scultore, andò tanto dietro alla simig…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P27;Bassano;#JacopoBassano;;;;Faux negatif;0;0;1;…tue antiche, hanno sopra gli altri imitati i migliori: e il [Bassano] è stato un Pierico nel rassomigliare i peggiori: e una gran…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P27;Demetrio;#DemetriosAlopece;Demetrio;#DemetriosDePhalere;100;Erreur @ref;1;0;0;…lmente i migliori, e i peggiori: e Quintiliano afferma, che [Demetrio], benche questi fosse Scultore, andò tanto dietro alla simig…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P28;Carracci;#Carrache;Carracci;#AnnibaleCarracci;100;Erreur @ref;1;0;0;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P30;Dionisio;#Bacchus;Dionisio;#DenysDeColophon;100;Erreur @ref;1;0;0;"…a; perché Polignoto imitò i migliori, Pausone i peggiori, e [Dionisio] i simiglianti. E non è dubbio che fra gli antichi altri mol…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P30;Demetrio;#DemetriosAlopece;Demetrio;#DemetriosDePhalere;100;Erreur @ref;1;0;0;…lmente i migliori, e i peggiori: e Quintiliano afferma, che [Demetrio], benche questi fosse Scultore, andò tanto dietro alla simig…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P31;Carracci;#Carrache;Carracci;#AnnibaleCarracci;100;Erreur @ref;1;0;0;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P31;Carracci;#Carrache;Carracci;#AnnibaleCarracci;100;Erreur @ref;1;0;0;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P33;Prencipe;#EdouardFarnese;;;;Faux negatif;0;0;1;…te stimato, che si defraudi troppo alla riputatione di quel [Prencipe], e del medesimo Maestro, non facendo conoscere a' riguardan…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P33;Maestro;#AnnibaleCarracci;;;;Faux negatif;0;0;1;…n toccava. E perché dal felice operare, e imitare di questo [maestro] nasceva ancora grandissimo diletto in altri, e in sé medesi…
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P33;Agostino;#AgostinoCarracci;;;;Faux negatif;0;0;1;"…la maggiore perfettione dell'arte. Furono quegli, Ludovico, [Agostino], e Annibale Carracci Bolognesi; de' quali il primo era Cugi…"
Agucchi_TrattatoPittura.xml;Vbalise;persName;AGU_TP_lettre_P40;Carracci;#Carrache;Carracci;#AnnibaleCarracci;100;Erreur @ref;1;0;0;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vbalise;persName;;ANNIBALE CARRACCI.;#AnnibaleCarracci;;;;Faux negatif;0;0;1;…sini. NOMI DEGLI ARTISTI DELLA CITTÀ DI BOLOGNA FIGURATI DA [ANNIBALE CARRACCI.]
Agucchi_TrattatoPittura.xml;Vbalise;placeName;AGU_TP_lettre_P13;;;Toscana;#Toscane;;Faux positif;0;1;0;…ttura in Italia, la Romana, la Viniziana, la Lombarda, e la [Toscana]. Fuori d'Italia Alberto Duro formò la Scuola sua, ed è meri…
Agucchi_TrattatoPittura.xml;Vbalise;placeName;;BOLOGNA;#Bologne;;;;Faux negatif;0;0;1;…e di tutta la persona de gli Artisti, e che per la Città di [Bologna], patria di lui, vanno vendendo, o facendo varie cose, egli …
Agucchi_TrattatoPittura.xml;Vspacy;persName;;;;Emma Bondoerffer;;;Faux positif;0;1;0;Title Transcription et Structuration [Emma Bondoerffer] Publication Information Information about the source DIVERS…
Agucchi_TrattatoPittura.xml;Vspacy;persName;;SIMONE GUILINO PARIGINO;#SimonGuillainII;;;;Faux negatif;0;0;1;…LE CARRACCI INTAGLIATE IN RAME, E cavate dagli Originali DA [SIMONE GUILINO PARIGINO]. DEDICATE A TUTTI I VIRTUOSI, Et Intendenti della Professio…
Agucchi_TrattatoPittura.xml;Vspacy;persName;;Lodovico Grignani.;#LodovicoGrignani;Lodovico Grignani;;97;Erreur texte;1;0;0;… della Pittura, e del Disegno. IN ROMA , Nella Stamperia di [Lodovico Grignani.] MDCXLVI. CON LICENZA DE' SUPERIORI. A TUTTI COLORO. Che del…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P1;;;Carracci Pittore;;;Faux positif;0;1;0;…gno si dilettano. GIOVANNI ATANASIO MOSINI Salute. ANNIBALE [Carracci Pittore] de' nostri tempi dell'eccellenza, che a voi (amatori di cos…
Agucchi_TrattatoPittura.xml;Vspacy;persName;;GIOVANNI ATANASIO MOSINI;#GiovanniAntonioMassani;;;;Faux negatif;0;0;1;… della professione ingegnosissima del Disegno si dilettano. [GIOVANNI ATANASIO MOSINI] Salute. ANNIBALE Carracci Pittore de' nostri tempi dell'ecc…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P1;ANNIBALE Carracci;#AnnibaleCarracci;;;;Faux negatif;0;0;1;… di ottanta, Disegnate di penna Nell'hore di ricreatione DA [ANNIBALE CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P1;Sivello;#GiovanniGabrielli;;;;Faux negatif;0;0;1;…itati. E perché al tempo di Annibale viveva il valentissimo [Sivello], il quale superò forse gli antichi Histrioni celebrati per …
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P1;;;Annibale al Sivello;;;Faux positif;0;1;0;…E perciò assai acconciamente si adattava la comparatione di [Annibale al Sivello]: perché sì come questi ingannava l'uditore, che non vedeva,…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P2;;;gran Personaggio;;;Faux positif;0;1;0;…mani di un Signore di vivace ingegno, che diventò poi anche [gran Personaggio], egli lo tenne per lungo tempo tra le cose a lui più care, …
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P2;;;Signor;;;Faux positif;0;1;0;…ene si studiarono. Dapoi pervenuto il libro alle mani di un [Signor]e di vivace ingegno, che diventò poi anche gran Personaggio,…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P2;;;Ludovico Ludovissio;;;Faux positif;0;1;0;…ne di quel Signore. Fu il libro donato dal Signor Cardinale [Ludovico Ludovissio] al Signor Lelio Guidiccioni, gentilhuomo Luchese assai noto…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P1;Sivello;#GiovanniGabrielli;;;;Faux negatif;0;0;1;…itati. E perché al tempo di Annibale viveva il valentissimo [Sivello], il quale superò forse gli antichi Histrioni celebrati per …
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P2;Annibale;#AnnibaleCarracci;;;;Faux negatif;0;0;1;… di ottanta, Disegnate di penna Nell'hore di ricreatione DA [ANNIBALE] CARRACCI INTAGLIATE IN RAME, E cavate dagli Originali DA SI…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P2;Signor Cardinale Ludovico Ludovissio;#LudovicoLudovisi;;;;Faux negatif;0;0;1;…rtese dimostratione di quel Signore. Fu il libro donato dal [Signor Cardinale Ludovico Ludovissio] al Signor Lelio Guidiccioni, gentilhuomo Luchese assai noto…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P2;;;haver cosa;;;Faux positif;0;1;0;…qualità sue molto degne, e laudevoli. E gloriandosi egli di [haver cosa] nel suo Museo, che particolarmente eccitava la curiosità de…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P2;il Guidiccioni;#LelioGuidiccioni;Guidiccioni;;88;Erreur texte;1;0;0;…a ricordanza della magnanimità del Donatore. Venuto a morte [il Guidiccioni], e passando il libro alle mani d'altri con pericolo di esse…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P3;;;cinque;;;Faux positif;0;1;0;…ie cose, egli arrivò a disegnarne sino al numero di settanta[cinque] figure intere, in modo che ne fu formato un libro, il quale…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P3;;;Maestro;;;Faux positif;0;1;0;…n toccava. E perché dal felice operare, e imitare di questo [maestro] nasceva ancora grandissimo diletto in altri, e in sé medesi…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P3;Algardi;#AlessandroAlgardi;;;;Faux negatif;0;0;1;"…nze glie ne fossero stati dati per prima de' giovevoli dall'[Algardi] Scultore, ad esso egli fece ricorso; e paragonando sempre l…"
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P3;Algardi;#AlessandroAlgardi;;;;Faux negatif;0;0;1;"…nze glie ne fossero stati dati per prima de' giovevoli dall'[Algardi] Scultore, ad esso egli fece ricorso; e paragonando sempre l…"
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P3;Algardi;#AlessandroAlgardi;;;;Faux negatif;0;0;1;"…nze glie ne fossero stati dati per prima de' giovevoli dall'[Algardi] Scultore, ad esso egli fece ricorso; e paragonando sempre l…"
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P3;Carracci;#Carrache;de' Carracci;;80;Erreur texte;1;0;0;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P4;;;Operari;;;Faux positif;0;1;0;"… e discorsi intorno alla professione della Pittura, e a gli [Operari] di essa così antichi, come moderni; è paruto non meno a mol…"
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P4;quell'Autore;#Agucchi;;;;Faux negatif;0;0;1;"…na cosa di quegli scritti in compagnia delle Figure; poiché [quell'Autore] fa una particolar mentione della scuola de' Carracci, e più…"
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P4;Carracci;#Carrache;;;;Faux negatif;0;0;1;…ta, Disegnate di penna Nell'hore di ricreatione DA ANNIBALE [CARRACCI] INTAGLIATE IN RAME, E cavate dagli Originali DA SIMONE GUIL…
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P5;;;Autore;;;Faux positif;0;1;0;"…gli medesimo ne riportava; delle lodi, che se ne davano all'[Autore]; e della continua ricordanza della magnanimità del Donatore…"
Agucchi_TrattatoPittura.xml;Vspacy;persName;AGU_TP_lettre_P5;;;Operari;;;Faux positif;0;1;0;"… e discorsi intorno alla professione della Pittura, e a gli [Operari] di essa così antichi, come moderni; è paruto non meno a mol…"
