xml_id,birth_place,region1,region2,region,country,country_qid,region_qid
Bernin,Naples,ville métropolitaine de Naples,Campanie,Campanie,Italie,Q38,
GiovanBattistaBertani,Mantoue,Mantoue,Lombardie,Lombardie,Italie,Q38,
JacopoBertoia,Parme,Parme,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
LorenzoDiBicci,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
Franciabigio,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
JacquesBlanchard,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
AbrahamBloemaert,Gorinchem,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
CornelisIIBloemaert,Utrecht,Utrecht,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
LancelotBlondeel,Poperinge,arrondissement administratif d'Ypres,Flandre-Occidentale,Belgique,Belgique,Q31,Q31
FrancoisBlondel,Ribemont,Aisne,Hauts-de-France,France,France,Q142,Q142
BoccaccioBoccaccino,Ferrare,Ferrare,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
CamilloBoccaccino,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,
FerdinandBol,Dordrecht,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
HansBol,Malines,arrondissement administratif de Malines,province d'Anvers,Belgique,Belgique,Q31,Q31
NicolasBollery,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
VitaleDaBologna,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
Giambologna,Douai,arrondissement de Douai,Nord,France,France,Q142,Q142
SchelteBolswert,Bolsward,Frise,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
GiovanniAntonioBoltraffio,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,
GiulioBonasone,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
GianpaoloBonconti,,,,,,,
FrancescoBonsignori,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,
AlessandroBonvicino,Brescia,Brescia,Lombardie,Lombardie,Italie,Q38,
ParisBordone,Trévise,Trévise,Vénétie,Vénétie,Italie,Q38,
HieronimusBosch,Bois-le-Duc,Bois-le-Duc,Brabant-Septentrional,Pays-Bas,Pays-Bas,Q55,Q55
FrancescoBoschi,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
AndreaBoscoli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
AbrahamBosse,Tours,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142
AndriesBoth,Utrecht,Utrecht,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
JanBoth,Utrecht,Utrecht,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
SandroBotticelli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
PierreBoucle,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
HennequinDeBruges,Bruges,arrondissement administratif de Bruges,Flandre-Occidentale,Belgique,Belgique,Q31,Q31
Valentin,Coulommiers,Seine-et-Marne,Île-de-France,France,France,Q142,Q142
SebastienBourdon,Montpellier,Hérault,Occitanie,France,France,Q142,Q142
ClaudineBouzonnetStella,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,France,France,Q142,Q142
FrancescoBrambillaIlGiovane,,,,,,,
FriedrichIBrentel,Lauingen,Landkreis Dillingen an der Donau,Souabe,Allemagne,Allemagne,Q183,Q183
PaulBril,Bréda,Bréda,Brabant-Septentrional,Pays-Bas,Pays-Bas,Q55,Q55
AgnoloBronzino,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
SalomonDeBrosse,Verneuil-en-Halatte,Oise,Hauts-de-France,France,France,Q142,Q142
AdriaenBrouwer,Audenarde,arrondissement administratif d'Audenarde,Flandre-Orientale,Belgique,Belgique,Q31,Q31
LiberalBruand,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
JanBrueghel,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Région de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31
PieterBrueghelDeOude,Bréda,Bréda,Brabant-Septentrional,Pays-Bas,Pays-Bas,Q55,Q55
Brunelleschi,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
DomenicoBrusasorzi,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,
BuonamicoBuffalmacco,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
GiulianoBugiardini,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
JeanBullant,Amiens,Somme,Hauts-de-France,France,France,Q142,Q142
FrancoisBunel,Blois,Loir-et-Cher,Centre-Val de Loire,France,France,Q142,Q142
JacobBunel,Blois,Loir-et-Cher,Centre-Val de Loire,France,France,Q142,Q142
PietroBuonaccorsi,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
MichelAnge,Caprese Michelangelo,Arezzo,Toscane,Toscane,Italie,Q38,
GiovanniBuonconsiglio,Montecchio Maggiore,Vicence,Vénétie,Vénétie,Italie,Q38,
Duccio,Sienne,Sienne,Toscane,Toscane,Italie,Q38,
Buschetto,,,,,,,
AgostinoBusti,Busto Arsizio,province de Varèse,Lombardie,Lombardie,Italie,Q38,
BernardinoButinone,Treviglio,Bergame,Lombardie,Lombardie,Italie,Q38,
NicolasBeatrizet,Lunéville,Meurthe-et-Moselle,Grand Est,France,France,Q142,Q142
JanStevenVanCalcar,Kalkar,arrondissement de Clèves,Düsseldorf,Allemagne,Allemagne,Q183,Q183
BenedettoCaliari,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,
CarloCaliari,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
GabrieleCaliari,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
JacquesCallot,Nancy,Meurthe-et-Moselle,Grand Est,France,France,Q142,Q142
DenysCalvaert,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
LazzaroCalvi,Gênes,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,
AndreaCamassei,Bevagna,province de Pérouse,Ombrie,Ombrie,Italie,Q38,
LucaCambiaso,Moneglia,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,
GirolamoCampagnola,Padoue,Province de Padoue,Vénétie,Vénétie,Italie,Q38,
GiulioCampagnola,Padoue,Province de Padoue,Vénétie,Vénétie,Italie,Q38,
AntonioCampi,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,
BernardinoCampi,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,
GaleazzoCampi,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,
GiulioCampi,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,
VincenzoCampi,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,
PeterCandid,Bruges,arrondissement administratif de Bruges,Flandre-Occidentale,Belgique,Belgique,Q31,Q31
LorenzoCanozi,Lendinara,province de Rovigo,Vénétie,Vénétie,Italie,Q38,
FrancescoCapriani,Volterra,Pise,Toscane,Toscane,Italie,Q38,
GiovanniJacopoCaraglio,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,
Caravage,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,
PolidoroDaCaravaggio,Caravaggio,Bergame,Lombardie,Lombardie,Italie,Q38,
GiovanFrancescoCaroto,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,
VittoreCarpaccio,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
UgoDaCarpi,Q100041,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
AgostinoCarracci,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
AnnibaleCarracci,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
AntonioCarracci,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
LodovicoCarracci,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
JacopoDiCasentino,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
AlessandroCasolani,Mensano,Casole d'Elsa,Sienne,Toscane,Italie,Q38,
AndreaDelCastagno,San Godenzo,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
BernardoCastello,Gênes,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,
GiovanniBattistaCastello,Gandino,Bergame,Lombardie,Lombardie,Italie,Q38,
BaldassareCastiglione,Casatico,Marcaria,Mantoue,Lombardie,Italie,Q38,
GiovanniBenedettoCastiglione,Gênes,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,
PietroCataneo,Sienne,Sienne,Toscane,Toscane,Italie,Q38,
DaneseCattaneo,Colonnata,Carrare,Massa-Carrara,Toscane,Italie,Q38,
GiovanniBattistaDeCavalieri,villa Lagarina,province autonome de Trente,Trentin-Haut-Adige,Trentin-Haut-Adige,Italie,Q38,
PietroCavallini,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,
GiacomoCavedone,Sassuolo,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
BenvenutoCellini,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
GiuseppeCesari,Arpino,province de Frosinone,Latium,Latium,Italie,Q38,
CesareCesariano,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,
AlonsoChacon,Baeza,province de Jaén,Andalousie,Espagne,Espagne,Q29,Q29
JeanChalette,Troyes,Aube,Grand Est,France,France,Q142,Q142
JeanBaptisteDeChampaigne,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Région de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31
PhilippeDeChampaigne,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Région de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31
NicolasChaperon,Châteaudun,Eure-et-Loir,Centre-Val de Loire,France,France,Q142,Q142
CimaDaConegliano,Conegliano,Trévise,Vénétie,Vénétie,Italie,Q38,
Cimabue,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
BartolomeoCincani,Orzinuovi,Brescia,Lombardie,Lombardie,Italie,Q38,
ValerioDiSimoneCioli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
Orcagna,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
NiccoloCircignani,Pomarance,Pise,Toscane,Toscane,Italie,Q38,
VincenzoCiverchio,Crema,Crémone,Lombardie,Lombardie,Italie,Q38,
MatteoDiGiovanniCivitali,Lucques,Lucques,Toscane,Toscane,Italie,Q38,
GiovanniBattistaClarici,Urbino,Pesaro et Urbino,Marches,Marches,Italie,Q38,
JoosVanCleve,Clèves,arrondissement de Clèves,Düsseldorf,Allemagne,Allemagne,Q183,Q183
GiulioClovio,Grižane-Belgrad,Primorje-Gorski Kotar,Adriatic Croatia,Croatie,Croatie,Q224,Q224
HieronymusCock,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
BenedettoCoda,Trévise,Trévise,Vénétie,Vénétie,Italie,Q38,
PieterCoeckeVanAelst,Alost,arrondissement administratif d'Alost,Flandre-Orientale,Belgique,Belgique,Q31,Q31
AdriaenCollaert,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
RaffaellinoDelColle,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,
AntonioDaSangalloIlGiovane,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
AlviseCornaro,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
MichelCorneille,Orléans,Loiret,Centre-Val de Loire,France,France,Q142,Q142
PierreCorneille,Rouen,Seine-Maritime,Normandie,France,France,Q142,Q142
CornelisVanHaarlem,Haarlem,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
LucasCornelisz,Leyde,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
CornelisCort,Hoorn,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
PierreDeCortone,Cortone,Arezzo,Toscane,Toscane,Italie,Q38,
PieroDiCosimo,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
SilvioCosini,Fiesole,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
LorenzoCosta,Ferrare,Ferrare,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
JeanICotelle,Meaux,Seine-et-Marne,Île-de-France,France,France,Q142,Q142
JeanCousin,Sens,arrondissement de Sens,Yonne,France,France,Q142,Q142
MichelICoxie,Malines,Malines,arrondissement administratif de Malines,Belgique,Belgique,Q31,Q31
SimoneDeiCrocifissi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
BattistaDelMoro,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,
MarcoDOggiono,Oggiono,Lecco,Lombardie,Lombardie,Italie,Q38,
MichelinoDaBesozzo,Besozzo,province de Varèse,Lombardie,Lombardie,Italie,Q38,
LippoDalmasio,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
PellegrinoDaSanDaniele,Udine,Organisme de décentralisation régionale d'Udine,Frioul-Vénétie Julienne,Frioul-Vénétie Julienne,Italie,Q38,
JeanDaret,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Région de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31
PierreDaret,,,,,,,
CarloDati,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
CornelisVanHeem,Leyde,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
JuanDeHerreraDeMaliano,Roiz,Valdáliga,Cantabrie,Espagne,Espagne,Q29,Q29
EtienneDelaune,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
WillemJacobszDelff,Delft,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
StefanoDellaBella,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
MarcoDente,Ravenne,Ravenne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
ClaudeDeruet,Nancy,Meurthe-et-Moselle,Grand Est,France,France,Q142,Q142
GirardDesargues,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,France,France,Q142,Q142
Bramante,Fermignano,Pesaro et Urbino,Marches,Marches,Italie,Q38,
ArnolfoDiLapo,Colle di Val d'Elsa,Sienne,Toscane,Toscane,Italie,Q38,
BenedettoDiada,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
AbrahamJanszVanDiepenbeeck,Bois-le-Duc,Bois-le-Duc,Brabant-Septentrional,Pays-Bas,Pays-Bas,Q55,Q55
Dominiquin,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
Donatello,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
Mastelletta,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
CharlesDorigny,La Rochelle,Charente-Maritime,Nouvelle-Aquitaine,France,France,Q142,Q142
MichelDorigny,Saint-Quentin,Aisne,Hauts-de-France,France,France,Q142,Q142
BattistaDossi,San Giovanni del Dosso,Mantoue,Lombardie,Lombardie,Italie,Q38,
DossoDossi,Mirandola,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
GerritDou,Leyde,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
FrancoisDuQuesnoy,Bruxelles,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31
AmbroiseDubois,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
ToussaintDubreuil,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142
JacquesDubroeucq,Mons,arrondissement administratif de Mons,Hainaut,Belgique,Belgique,Q31,Q31
NicolasDuchesne,,,,,,,
GaspardDughet,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,
KarelDujardin,Amsterdam,Amsterdam,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Q55,Q55
GuillaumeDumee,Fontainebleau,Seine-et-Marne,Île-de-France,France,France,Q142,Q142
EtienneDuperac,Bordeaux,Gironde,Nouvelle-Aquitaine,France,France,Q142,Q142
AntoineDurand,Toulouse,Haute-Garonne,Occitanie,France,France,Q142,Q142
VanDyck,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
AlbrechtDurer,Nuremberg,Moyenne-Franconie,Bavière,Allemagne,Allemagne,Q183,Q183
AlbrechtDurerElder,Ajtós,Békés,Hongrie,Hongrie,Hongrie,Q28,Q28
JustusVanEgmont,Leyde,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
FerdinandElle,Malines,arrondissement administratif de Malines,province d'Anvers,Belgique,Belgique,Q31,Q31
AdamElsheimer,Francfort-sur-le-Main,district de Darmstadt,Hesse,Allemagne,Allemagne,Q183,Q183
MarioEquicola,Alvito,province de Frosinone,Latium,Latium,Italie,Q38,
CharlesErrard,Nantes,Loire-Atlantique,Pays de la Loire,France,France,Q142,Q142
JeanErrard,Bar-le-Duc,Meuse,Grand Est,France,France,Q142,Q142
VanEyck,Maseyk,arrondissement administratif de Maaseik,Limbourg,Belgique,Belgique,Q31,Q31
GentileDaFabriano,Fabriano,Ancône,Marches,Marches,Italie,Q38,
PietroFacchetti,Mantoue,Mantoue,Lombardie,Lombardie,Italie,Q38,
Filarete,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
GiacomoFantoni,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
PaoloFarinati,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,
JeanBaptisteDeFaudran,Lambesc,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,France,France,Q142,Q142
AndreaFeltrini,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
Gaudenzio,Valduggia,Verceil,Piémont,Piémont,Italie,Q38,
FrancescoFerrucci,Fiesole,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
MinoDaFiesole,Poppi,Arezzo,Toscane,Toscane,Italie,Q38,
AmbrogioFigino,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,
MasoFiniguerra,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
JacobelloDelFiore,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
StefanoFiorentino,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
MaturinoFiorentino,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,
Baroccio,Urbino,Pesaro et Urbino,Marches,Marches,Italie,Q38,
FlaminioVacca,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,
FransFlorisI,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
LouisDeFoix,,,,,,,
AnnibaleFontana,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,
DomenicoFontana,Melide,Cercle de Paradiso,district de Lugano,Suisse,Suisse,Q39,Q39
LaviniaFontana,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
ProsperoFontana,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
Caradosso,Olgiate Molgora,Lecco,Lombardie,Lombardie,Italie,Q38,
VincenzoFoppa,Brescia,Brescia,Lombardie,Lombardie,Italie,Q38,
JacquesFouquieres,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
PieroDellaFrancesca,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,
FrancescoFrancia,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,
BattistaFranco,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,
ClaudeFrancois,Amiens,Somme,Hauts-de-France,France,France,Q142,Q142
