xml:id,forename,surname,addName,role,trait_texts,birth_date,birth_place,death_date,death_place,nationality,works,ulan,bnf,viaf,isni,vat,wikidata
AlbertoAlberti,Alberto,Alberti,Alberto Alberti; Alberto,cardinal italien de l’Église catholique au XVe s.,"prêtre catholique, évêque catholique | cardinal italien de 1439 à 1445.",1386-01-01,Florence,1445-08,Florence,république de Venise,,,,,,,Q323557
BenedettoAlberti,Benedetto,Alberti,Benedetto Alberti; Benedetto de gli Alberti,n/a,personnalité politique,1320-01-01,N/A,1388-01-01,N/A,,,,,38005577,,,Q62032375
BernardoAlberti,Bernardo,Alberti,Bernardo Alberti; Bernard Alberti,n/a,médecin | frère de Leon Battista Alberti.,,N/A,1360-01-01,N/A,,,,,,,,Q55225022
CarloAlberti,Carlo,Alberti,Carlo di Lorenzo degli Alberti; Carlo Alberti; Carolum,,connu aussi sous le nom de di Lorenzo degli Alberti et frère de Leon Battista Alberti.,,,,,,,,,,,,
CherubinoAlberti,Cherubino,Alberti,Albert Dal Borge San Sepolcro; Cherubino Alberti; Messer Cherubino; Cherubin Albert,peintre et graveur italien (1553-1615),"Italian Renaissance mural painter, brother of Giovanni. Comment on works: Religious; History; Portraits",1553-02-24,Sansepolcro,1615-10-18,Roma,Italie,,500020972,149522141,99664529,0000000121449796,495/21249,Q2553402
CiprianoAlberti,Cipriano,Alberti,Giovanni di Cipriano Alberti; Cipriano Alberti,n/a,N/A | connu aussi sous le nom de Giovanni di Cipriano Alberti).,1335,N/A,1413,N/A,,,,,,,,Q88174978
AlbertiDurante,Durante,Alberti,"Durante dal Borgo, Durante del Nero; Durante dal Borgo; Durante Alberti; Messer Durante; Durante",peintre italien,Italian painter. Comment on works: Religious | On trouve également Durante dal Borgo et Durante del Nero.,1538-01-01,Sansepolcro,1613-04-23,Roma,Italie,,500027513,,67578551,0000000066885738,,Q1165466
Alberti,Famille,Alberti,Alberti,peintre,"The Alberti family was a major political and noble family in Florence, allies of the Medicis, with trading agencies across Europe. | famille",,,,,,,500110643,,134772936,,,Q3064890
GiovanniAlberti,Giovanni,Alberti,Jean Alberti,peintre italien,"Italian Renaissance mural painter, brother of Cherubino.",1558-10-19,Sansepolcro,1601-08-10,Roma,Italie,,500003403,,40481675,0000000066871678,495/193200,Q3106983
GiovanniII,Giovanni,Alberti,Giovanni,,fils de Cipriano Alberti,,,,,,,,,,,,
LeonBattistaAlberti,Leon Battista,Alberti,Leon Baptiste Albert; LEON BATTISTA ALBERTI; Leon Battista Alberti; Leon Battista; Leonis Baptistae de Albertis; Leo Baptista de Albertis; Leonis Baptistae Alberti; Leo Baptista Albertus; Baptistae de Albertis; LEON BAPTISTE ALBERT.; Leon Battista Alberti; LEON BATTISTA ALBERTI; Leon Batiste Alberti; Léon-Baptiste Albert; LEON BAPTISTE ALBERT; Leon Baptiste Albert; Léon Baptiste Albert; Leon Batiste Albert; Lepidam Lepidi; Leon Battista; Leon Baptiste; BAptiste Leon; Leon Batiste; Baptiste; Alberti; Bartoli; Lepido; Albert,"architecte, sculpteur, musicien humaniste italien (1404-1472)",Italian architect and famous architectural theoretician.,1404-02-14,Genova,1472-04-25,Roma,république de Gênes,,500002025,12083793k,29559625,0000000120958329,495/19463,Q182046
LorenzoAlberti,Lorenzo,Alberti,Lorenzo degli Alberti; Lorenzo Alberti,,"connu aussi sous le nom de Lorenzo degli Alberti, fils de Cipriano Alberti et père de Leon Battista Alberti",,,,,,,,,,,,
RomanoAlberti,Romano,Alberti,Nero Alberti da Sansepolcro; Romano Alberti,n/a,sculpteur ou sculptrice,1502-01-01,Sansepolcro,1568-01-01,N/A,,,,,1163455,000000007875732X,,Q3338349
MariottoAlbertinelli,Mariotto,Albertinelli,Marc Mariotto Albertinetti; Mariotto Albertinelli,peintre italien (1474-1515),Comment on works: Religious,1474-10-13,Firenze,1515-11-05,Firenze,Italie,,500005936,14869728t,62605466,0000000066836098,,Q436823
LaurentiusAlbertus,Laurentius,Albertus,"Lorenz Albrecht, Osterfrank, Ostrofrancus; Laurentius Albertus",n/a,"juriste, historien ou historienne, linguiste, écrivain ou écrivaine | linguiste",1540,Neustadt bei Coburg,1583-01-01,N/A,Allemagne,,,,13367518,0000000107774947,495/7006,Q1264440
GiovanniAlbertoAlbicante,Giovanni Alberto,Albicante,"il Meschino; il Furibondo""; il Bestiale""; Albicante",auteur,,,,,,,,,,,,,
Alcamene,Alcamène,Alcamène,Alcamène; d'Alcamene; Alcamenes; Alcamene,sculpteur grec du Ve siècle av. J-C,sculpteur ou sculptrice,0500,Lemnos,0400,N/A,Athènes,,500123659,,5721808,0000000022191013,495/106417,Q505640
AndreaAlciato,Andrea,Alciato,André Alciat; Alciato,jurisconsulte italien,"juriste, historien ou historienne, professeur ou professeure d'université, écrivain ou écrivaine | Ou ""Andrea Alciati"".",1492-05-08,Milan,1550-01-12,Pavie,France,,500048282,12007984g,51699991,0000000122798373,495/11915,Q464471
Alcibiade,Alcibiade,Alcibiade,Alcibiade,homme politique athénien,"personnalité politique, militaire, officier d'armée de terre",0450,Athènes,0404-01-01,Phrygie,Athènes,,,12156787x,46735515,0000000090440667,495/203863,Q187982
Alcinoos,Alcinoos,Alcinoos,Alcinoos le Philosophe; Alcinoo,philosophe antique,"philosophe | Aussi connu sous le nom d' ""Alcinoos le Philosophe"".",,N/A,,N/A,,,,,301986016,,,Q936686
HeinrichAldegrever,Heinrich,Aldegrever,ALBERT ALDEGRAF; Aldegrave,peintre et graveur allemand (1502-1561),"Aldegrever published about one hundred ornamental designs in addition to his figurative compositions. His Italianate designs are
            carefully and imaginatively suited to Northern taste. Comment on works: Religious; History",1502-01-01,Paderborn,1555,Soest,Allemagne,,500002169,123923720,95693757,0000000118506366,495/8026,Q62514
ClementVIII,Ippolito,Aldobrandini,Clément VIII; Papa Clemente Ottavo; Clement VIII,"231e pape de l'Église catholique, de 1592 à 1605","diplomate, prêtre catholique | Pape sous le nom de Clément VIII",1536-02-24,Fano,1605-03-03,Rome,États pontificaux,,500236251,12491633v,100212973,0000000120967241,495/17443,Q170395
PietroAldobrandini,Pietro,Aldobrandini,Pietro Aldobrandini; Cardinal Aldobrandin,cardinal de l'Église catholique romaine,"diplomate, prêtre catholique, évêque catholique",1571-03-31,Rome,1621-02-10,Rome,,,500360211,10666012w,66458392,0000000109101009,495/24411,Q691894
AlessandroLeopardi,,,,,,1447-00-00,,1522-00-00,,,,500025604,,35251487,,,Q724827
AlexandreLeGrand,Alexandre,Alexandre le Grand,Alexandre le Grand; Alessandro Magno; Alessandro Macedone; le Grand Alexandre; Alexandre le grand; Alessandro Magno; grand Alexandre,roi de Macédoine et conquérant de la Perse achéménide (356-323 av. J.-C.),"personnalité politique, chef militaire, monarque",0356-07-20,Pella,0323-06-10,Babylone,royaume de Macédoine,,500280655,11946296j,88742742,0000000122835816,495/57288,Q8409
HeronAlexandrie,"Héron, d'",Alexandrie,Héron d'Alexandrie; Héron l’Ancien,ingénieur et mathématicien grec du Ier siècle après J.-C.,"mathématicien ou mathématicienne, physicien ou physicienne, inventeur d'automates, ingénieur ou ingénieure, inventeur",0010,Alexandrie,0075,Alexandrie,,,,121144764,22944086,0000000107979256,495/9306,Q161853
AlessandroAlgardi,Alessandro,Algardi,L'Algarde; l’Algarde; l'Algarde; Algardi,sculpteur italien,"Considered the main rival of Bernini, Algardi was more moderate and classicizing in style and worked more directly in the decorative
            arts. Important projects include the tomb of Pope Leo XI in St. Peter's (completed 1644) and the free-standing marble group of The
            Beheading of St. Paul (finished 1644; Bologna, S. Paolo Maggiore). Innocent X Pamphili, who became pope in 1644, was one of Algardi's
            biggest patrons. Algardi also produced noteworthy designs for silver throughout his career. Comment on works: Sculptor, architect",1595-07-31,Bologna,1654-06-10,Roma,États pontificaux,,500024200,12004299v,76326555,0000000369434694,495/70871,Q336798
Dante,Dante,Alighieri,Dante; Dante Aliger; Danté,"poète, homme politique et écrivain florentin","Dante is universally recognized as the greatest poet of the Middle Ages. His masterpiece, the Divine Comedy (begun 1307 or 1314),
            contains many passages in which Dante expressed his appreciation of painting and sculpture, and the themes in the poem have challenged
            artists from the 14th century to the present day.",1265-05-30,Firenze,1321-09-13,Ravenna,République florentine,,500265888,118985852,97105654,0000000121446210,495/345466,Q1067
Correge,Antonio,Allegri,"Corrège, Correggio; Antonio da Correggio; Antonio da Coreggio; Antonio da Corregio; Antoine de Correge; Antoine Corregio; ANTOINE CORREGE; le Corregge; le Corrége; le Correge; du Correge; Le Correge; le Corrége; Correggio; Corrége; Corregio; Corregge; Correge; Corége; Corrége; Corege",peintre italien de la Renaissance (1489–1534),"Born Antonio Allegri, Correggio was named after the town of his birth. His ability to manipulate light and shade to create luminous
            atmospheric effects was prized in religious paintings of the Italian Renaissance. Giorgio Vasari, a 16th-century biographer of artists,
            wrote, ""everything that is to be seen by his hand is admired as something divine."" Correggio was profoundly influenced by the style and
            technique used by the painter Andrea Mantegna. By the age of twenty-nine, Correggio was probably working in Parma, the center of his
            greatest activity. The frescoes he painted in the dome of the cathedral there served as a model of dome decorations long after his death.
            Correggio inspired future generations of artists as diverse as the Carracci family, Rubens, and Boucher. Italian painter, muralist. | Antonio Allegri da Correggio.",1489-08-30,Correggio,1534-03-05,Correggio,,,500006208,140061860,97748522,0000000385950883,495/56408,Q8457
Alofili,,Alofili,Alofili,,divinité antique mentionnée par Lomazzo,,,,,,,,,,,,
Ingegno,Andrea,Aloigi Assisi,Ingegno; André Louis d’Assise,peintre italien,Comment on works: Religious | Andrea Aloigi dit L'Ingegno,1480,Assise,1521,N/A,Italie,,500017980,,95791382,,,Q2846290
SaintJacquesMineur,Jacques d',Alphée,Jacques d'Alphée; le Mineur,peinture d'El Greco,N/A | dit Saint Jacques le Mineur,,N/A,,N/A,,,,,,,,Q16621985
Althee,Althée,Althée,Althée; Altea,personnage de la mythologie grecque,N/A,,N/A,,N/A,,,,,,,,Q440440
BindoAltoviti,Bindo,Altoviti,Bindo Altoviti,banquier et mécène italien,banquier,1491,Florence,1557-02-22,Rome,,,500081699,14585761k,32937542,0000000121004711,495/95952,Q22810427
FerdinandAlvareDeTolede,Ferdinand,Alvare de Tolède,Ferdinand Alvare de Tolède; Duc d’Albe,noble espagnol du XVIe siècle,"officier, militaire, diplomate, personnalité politique | Vice-roi de Naples de 1555 à 1558, gouverneur des Pays-Bas, duc d'Albe",1507-10-29,Piedrahíta,1582-12-11,Lisbonne,Espagne,,500354988,125466425,90629206,0000000116840635,495/27,Q80847
Amalasonte,Amalasonte,Amalasonte,Amalasonte; Amalafonte,reine des Ostrogoths,"personnalité politique, écrivain ou écrivaine | Régente (526-534) puis Reine des Ostrogoths (534-535).",0498,Ravenne,0535-04-30,île Martana,royaume des Ostrogoths,,,13751525s,7030951,000000009717973X,,Q371670
Amalthee,Amalthée,Amalthée,Amalthée; Alphée,Océanide de la mythologie grecque,N/A,,N/A,,N/A,,,,,55234186,,,Q107785
ChristophAmberger,Christoph,Amberger,Christophle Amberger,peintre allemand,,1505,Kaufbeuren,1562-01-01,Augsburg,Allemagne,,500020494,14968992d,15623990,0000000365574059,,Q653163
AngePolitien,Angelo,Ambrogini Poliziano,Ange Politien; Angelus Politianus; Ange Politian; ANge Politian,écrivain italien,N/A,1454-07-14,Montepulciano,1494-09-29,Firenze,République de Sienne,,500324225,12055590v,9867884,0000000120990193,495/14615,Q250414
JostAmman,Jost,Amman,Iusti Ammani Tigurini,"dessinateur, peintre et graveur (1539-1591)",Aussi connu sous le nom de Iusti Ammani Tigurini.,1539-05-12,Zürich,1591-03-17,Nürnberg,Allemagne,,500115433,12173832m,32038452,0000000108848733,495/9834,Q116240
BartolomeoAmmannati,Bartolomeo,Ammannati,Bartolomeo; Bartelemi,architecte et sculpteur italien,"Ammanati was an influential Mannerist artist in the mid-16th century. He traveled in north and central Italy and incorporated
            developments there into his style. He is perhaps best known for having created the Fountain of Juno and the Fountain of Neptune and the
            courtyard of the Palazzo Pitti in Florence. Italian sculptor and architect. Comment on works: sculptor",1511-06-18,Settignano,1592-04-13,Firenze,Italie,,500028632,131764958,5070762,0000000108371832,495/74513,Q312366
AmmienMarcellin,Ammien,Ammien Marcellin,Ammien Marcellin; Ammian Marcellin; Ammiam Marcellin,historien romain,"historien ou historienne, écrivain ou écrivaine, militaire, poète ou poétesse",0330,Antioche,0395,Rome,Rome antique,,,118886885,89594750,0000000121287256,495/43799,Q172198
ScipioneAmmirato,Scipione,Ammirato,Scipione Ammirato,historien italien,historien ou historienne,1531-10-07,Lecce,1601-01-11,Florence,,,,10461713m,39366554,0000000110251629,495/16600,Q600041
Amphiaraos,Amphiaraos,Amphiaraos,Amphiaraos; Anfiarao,personnage de la mythologie grecque,N/A,,N/A,,N/A,,,,15513931d,1210519,,,Q330584
Amphion,Amphion,Amphion,Amphion; Amfione,"personnage de la mythologie grecque, fils de Zeus",N/A,,N/A,,N/A,,,,15082691s,187552066,,,Q242835
Amulius,Fabullus,Amulius,Fabullus ; Fabullo; Amulio Romano,n/a,"artiste peintre | connu également sous le nom Fabullus, ou Fabullo ; peut-être un roi légendaire",,N/A,,N/A,,,,,,,,Q1395422
Amycos,Amycos,Amycos,Amycos; Roy Bebrie,roi des Bébryces dans la mythologie grecque,"roi, boxeur ou boxeuse | roi des Bébryces en Bithnye",,N/A,,N/A,,,,12272947v,805693,,,Q697942
Anacreon,Anacréon,Anacréon,Anacréon,poète lyrique grec de l'Antiquité,"poète ou poétesse, écrivain ou écrivaine, épigrammatiste, Hofmeister",0570,Téos,0485-01-01,Téos,,,,11888717x,100165204,0000000121033619,495/62938,Q213484
Anaxagore,Anaxagore,Anaxagore,Anaxagore de Clazomènes; Anaxagore,philosophe présocratique,"mathématicien ou mathématicienne, philosophe, physicien ou physicienne, astronome, écrivain ou écrivaine",0500,Clazomènes,0428,Lampsaque,,,,12185392s,24645587,0000000080153963,495/43808,Q83041
Anchise,Anchise,Anchise,Anchise; Anchises,"personnage de la mythologie grecque, père d'Énée",personnalité politique,,N/A,,N/A,,,,15068010b,23361040,,,Q211953
LippoAndrea,"Lippo, d'",Andrea,Ambrogio di Baldese; LIPPO,"artist, painter","Formerly an unidentified Florentine artist with a similar hand as Ambrogio di Baldese. Since then, the artist has been identified as
            Lippo d'Andrea. Comment on works: religious | Ambrogio Di Baldese",1370,Florence,1500,N/A,,,500082343,,96272011,0000000069342552,,Q18627228
Androcydes,Androcydès,Androcydès,Androcydès; Androcide,peintre grec,artiste peintre,0500-01-01,Cyzique,0400-01-01,N/A,,,,,,,,Q4759434
Andromede,Andromède,Andromède,Andromède; Andromede,personnage de la mythologie grecque,N/A,,N/A,,N/A,,,,,57408288,,,Q161582
JacquesAndrouetDuCerceau,Jacques,Androuet du Cerceau,du Cerceau; Ducerceau,graveur et architecte français (c. 1515-1585),French architect.,1510,Paris,1585-01-01,Paris,France,,500008202,118888443,76311191,000000012102443X,,Q781934
SaintAndre,André,André,André; sainct André; Sant'Andrea; S. Andrea,apôtre du Christ,"prédicateur, missionnaire, pêcheur ou pêcheuse",0006,Bethsaïde,0060-11-30,Patras,Rome antique,,,,45705266,0000000026970946,,Q43399
FraAngelico,Jean,Angelico,Fra Angelico; Frere Jean de Fiesole; Jean de Fiesole; Jean Angélic; Jean Angelic; JEAN ANGELIC,peintre italien dominicain du XVe siècle,"Giovanni da Fiesole, a working artist, became a Dominican monk around 1417. His sweet style earned him the nickname ""Angelico."" Fra
            Angelico practiced Masaccio's ideals of using realistic light to create solid, heroic forms. Around 1443 Fra Angelico and his assistants
            created fifty frescoes for their new monastery of San Marco in Florence. He died in Rome while painting for the pope. Comment on works:
            Religious",1400-01-01,Vicchio,1455-02-18,Roma,Italie,,500029319,119381778,88038345,0000000122424267,495/21354,Q5664
MargueritedeNavarre,Marguerite,"Angouleme, de",Marguerite de Valois-Angoulême; Royne de Navarre; Reina di Navara,"sœur aînée du roi François Ier, femme de lettres, diplomate, protectrice d’écrivains et d’artistes, reine de Navarre (1492-1549)","écrivain ou écrivaine, poète ou poétesse, salonnier ou salonnière, dramaturge, roi | Marguerite de Valois-Angoulême",1492-04-11,Angoulême,1549-12-21,Odos,royaume de France,,,11914522q,89797196,0000000120532440,495/24534,Q190058
JacquesAngouleme,Jacques d',Angoulême,Pierre Jacques; Jaques d'Angouleme,sculpteur français,,1520,N/A,1596,N/A,France,,500009260,10630625t,7381331,0000000083538869,,Q19597256
EuropaAnguissola,Europa,Anguissola,Europe Angosciola,peintre italienne,"One of six sisters from a noble family of Cremona who were painters. Europa executed a portrait of their mother (untraced), according to
            Giorgio Vasari, a 16th-century biographer of artists, and she signed the ""Calling of Saints Andrew and Peter"" (Vidiceto,
            Parrocchiale).",1600-01-01,Crémone,1600-01-01,Italie,duché de Milan,,500099676,,74659718,0000000010640184,,Q1375207
LuciaAnguissola,Lucia,Anguissola,Lucie Angosciola,peintre italienne,"One of six sisters who were artists. The sisters were from a noble family in Cremona. The family was visited by Giorgio Vasari, a
            16th-century biographer of artists, after Lucia's death, and he wrote about her family and her art. Her primary works seem to have been
            portraits. She may have died in 1565, certainly before 1568.",1536-01-01,Cremona,1565-01-01,Cremona,duché de Milan,,500031903,,37723408,000000001386137X,,Q465443
SofonisbaAnguissola,Sofonisba,Anguissola,Sofonisbe Aigosciola; Sofonisbe,peintre italienne,"One of six sisters who were artists. The sisters were from a noble family in Cremona. They were visited by and written about by Giorgio
            Vasari, a 16th-century biographer of artists. Vasari seemed particularly taken with the talents of Sofonisba over the other sisters. Most
            of her remaining work are portraits, many are self-portraits. She was an attendant in the court at Madrid. She married the nobleman
            Fabrizio de Moncada, brother of the Viceroy of Sicily, Francesco II, and settled in Palermo, Sicily. In 1584, after his death, she married
            the Genoese nobleman Orazio Lomellino and moved to Genoa. Comment on works: Portraits",1535,Cremona,1625-11-16,Palermo,Crémone,,500115561,12285346s,229537591,0000000066352587,,Q236038
CharlesIAnjou,"Charles I, d'",Anjou,Charles Ier; Charles d’Anjou; Charles I,roi de Naples et de Sicile,personnalité politique | Roi de Naples,1226-03-21,Paris,1285-01-07,Foggia,France,,500271106,12373762m,17302763,0000000117476548,495/14369,Q203829
CharlesCalabre,"Charles, d'",Anjou,Duc de Calabre; Charles de Calabre,duc de Calabre,aristocrate | Duc de Calabre,1298-05-28,Naples,1328-11-09,Naples,,,,,95401701,0000000068623459,,Q201737
ReneAnjou,René,Anjou,René d’Anjou; René de Sicile,"roi de Naples, duc d'Anjou et de Lorraine, comte de Provence, écrivain et mécène","monarque, poète ou poétesse, personnalité politique | dit le Bon Roi René Roi titulaire de Jérusalem de 1435 à 1480.",1409-01-16,Angers,1480-07-10,Aix-en-Provence,royaume de France,,500165842,119215497,18017604,0000000121227368,495/38946,Q170353
SainteAnne,Anne,Anne,Anne; Saincte Anne; saincte Anne; Sant'Anna,mère de Marie de Nazareth,femme au foyer,0055,Bethléem,0012,Nazareth,Rome antique,,,,120155150,0000000107883393,,Q164294
MichelangeloAnselmi,Michelangelo,Anselmi,Michel Ange Anselmi,peintre italien,Born in either Siena or Lucca. Comment on works: Religious | dit aussi lo Scalabrino,1492-01-01,Toscana,1556-01-01,Parma,Italie,,500014404,,72280819,0000000116702654,,Q577590
SegniaAntignano,Segna d',Antignano,Segnia d’Antignano,peintre,,,,,,,,,,,,,
